service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Artifact Registry  (Artifact Registry),Artifact Registry Network Inter Region Egress AsiaPacfic to AsiaPacfic,30.0,,149C-F9EC-3994,C61C-8A5E-F9FA,1.5,
Artifact Registry  (Artifact Registry),Artifact Registry Network Egress via Carrier Peering Network - Asia Pacific Based,30.0,,149C-F9EC-3994,C2B4-0AA6-0340,1.26,
Artifact Registry  (Artifact Registry),Artifact Registry Storage,30.0,global,149C-F9EC-3994,8502-299A-ABAF,2.95,
Secret Manager,Secret access operations,5.0,global,EE82-7A5E-871C,EBA7-264F-2D2C,0,
Secret Manager,Secret rotate operations,5.0,global,EE82-7A5E-871C,FED6-B22D-CEF1,0.1,
Secret Manager,Secret version replica storage,5.0,global,EE82-7A5E-871C,7756-ADEF-84F4,0,
Firestore,Cloud Firestore Read Ops Jakarta,76041.66666666667,asia-southeast2,F17B-412E-CB64,5E9C-952D-A879,0,
Firestore,Cloud Firestore Entity Writes Jakarta,3041.666666666667,asia-southeast2,F17B-412E-CB64,0518-9538-C614,0,
Firestore,Cloud Firestore Entity Deletes Jakarta,912.5,asia-southeast2,F17B-412E-CB64,C22A-D047-FA5F,0,
Firestore,Cloud Firestore Storage Jakarta,50.0,asia-southeast2,F17B-412E-CB64,7D87-7C62-0BDF,9.408,
Standard Environment (App Engine),Frontend Instances Jakarta,2.0,asia-southeast2,F17B-412E-CB64,2EC9-5583-ECA8,41.4275,
Standard Environment (App Engine),Out Bandwidth Jakarta,4.0,asia-southeast2,F17B-412E-CB64,8CC4-DAE0-9C1F,0,
Cloud Storage,Nearline Storage Jakarta,200.0,asia-southeast2,95FF-2EF5-5EA1,5E51-E5C9-7A7D,3.2,
,,,,,,,
,,,,,Total Price:,59.8455,
,,,,,,,
"Prices are in US dollars, effective date is 2024-12-13T06:41:44.453Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVJoT0dJNE5UQmxaQzB6WW1RNUxUUXpaRFl0T1RKaE1DMHpPVGcwTURSbFpEQXpORGtRQVE9PRokMDEyQjUzNEUtMzJDMC00MTY5LUJFRjYtRjFCREREQ0Y3RTk4,,,,,,
